Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16615,25979,2016-02-01 00:00:00.000000 UTC,61200,15.8391,15.6153
16615,25979,2016-02-01 00:00:00.000000 UTC,63100,21.3964,16.7442
16615,25979,2016-02-01 00:00:00.000000 UTC,65700,16.8996,17.0133
16615,25979,2016-02-01 00:00:00.000000 UTC,65800,15.7843,16.8002
16615,25979,2016-02-01 00:00:00.000000 UTC,67000,15.9515,15.8073
16615,25979,2016-02-01 00:00:00.000000 UTC,67800,19.1357,19.9926
16615,25979,2016-02-01 00:00:00.000000 UTC,68400,17.7083,17.2622
16615,25979,2016-02-01 00:00:00.000000 UTC,69100,18.2359,17.0055
16615,25979,2016-02-01 00:00:00.000000 UTC,72700,16.1377,15.8869
16615,25979,2016-02-01 00:00:00.000000 UTC,74300,18.8799,17.3118
16615,25979,2016-02-01 00:00:00.000000 UTC,75900,25.1982,27.6464
16615,25979,2016-02-01 00:00:00.000000 UTC,76100,24.9826,27.0109
16615,25979,2016-02-01 00:00:00.000000 UTC,79800,19.2798,17.9131
16615,25979,2016-02-01 00:00:00.000000 UTC,81500,19.787,17.7837
16615,25979,2016-02-01 00:00:00.000000 UTC,84400,16.4202,16.2698
16615,25979,2016-02-01 00:00:00.000000 UTC,90200,16.4334,16.3971
16615,25979,2016-02-01 00:00:00.000000 UTC,91500,18.3004,17.9188
16615,25979,2016-02-01 00:00:00.000000 UTC,97400,18.4243,17.894
16615,27387,2016-02-01 00:00:00.000000 UTC,1600,15.749,16.7264
16615,27387,2016-02-01 00:00:00.000000 UTC,2800,22.2475,22.2899
16615,27387,2016-02-01 00:00:00.000000 UTC,5700,25.9068,25.772
16615,27387,2016-02-01 00:00:00.000000 UTC,6700,14.3032,14.4145
16615,27387,2016-02-01 00:00:00.000000 UTC,9400,14.1968,14.1774
16615,27387,2016-02-01 00:00:00.000000 UTC,9600,14.4363,14.4047
16615,27387,2016-02-01 00:00:00.000000 UTC,9800,14.7353,14.6953
16615,27387,2016-02-01 00:00:00.000000 UTC,10400,16.1572,16.0943
