Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16111,39261,2016-02-01 00:00:00.000000 UTC,45900,30.2302,29.9397
39261,16111,2016-02-01 00:00:00.000000 UTC,58500,30.2344,31.1336
29093,39261,2016-02-01 00:00:00.000000 UTC,4500,30.2408,30.2744
39261,16111,2016-02-01 00:00:00.000000 UTC,92500,30.2662,31.7797
39261,28255,2016-02-01 00:00:00.000000 UTC,4700,30.2762,30.3084
29093,39261,2016-02-01 00:00:00.000000 UTC,7000,30.3053,29.272
29093,39261,2016-02-01 00:00:00.000000 UTC,77900,30.3134,31.3399
29093,16111,2016-02-01 00:00:00.000000 UTC,4100,30.3404,30.3449
16111,29093,2016-02-01 00:00:00.000000 UTC,44500,30.3443,30.612
39261,28255,2016-02-01 00:00:00.000000 UTC,4800,30.3506,30.3969
39261,29093,2016-02-01 00:00:00.000000 UTC,45700,30.3637,30.3318
29093,28255,2016-02-01 00:00:00.000000 UTC,67800,30.374,30.9617
39261,28255,2016-02-01 00:00:00.000000 UTC,4900,30.411,30.4712
16111,28255,2016-02-01 00:00:00.000000 UTC,12600,30.4558,29.5788
28255,39261,2016-02-01 00:00:00.000000 UTC,91200,30.4587,30.7687
16111,39261,2016-02-01 00:00:00.000000 UTC,21800,30.4656,29.5668
39261,28255,2016-02-01 00:00:00.000000 UTC,5000,30.4693,30.5312
28255,16111,2016-02-01 00:00:00.000000 UTC,61200,30.4738,30.842
28255,16111,2016-02-01 00:00:00.000000 UTC,83600,30.4783,31.2547
16111,28255,2016-02-01 00:00:00.000000 UTC,47800,30.4903,30.6555
16111,39261,2016-02-01 00:00:00.000000 UTC,63600,30.5003,30.9937
29093,16111,2016-02-01 00:00:00.000000 UTC,12100,30.5075,29.6266
39261,16111,2016-02-01 00:00:00.000000 UTC,37200,30.5133,29.6538
28255,39261,2016-02-01 00:00:00.000000 UTC,5200,30.552,30.5298
28255,39261,2016-02-01 00:00:00.000000 UTC,60900,30.6034,30.5157
29093,16111,2016-02-01 00:00:00.000000 UTC,23500,30.6123,28.8868
16111,28255,2016-02-01 00:00:00.000000 UTC,55900,30.6527,25.0621
16111,28255,2016-02-01 00:00:00.000000 UTC,76800,30.6607,31.2873
28255,16111,2016-02-01 00:00:00.000000 UTC,4700,30.662,30.6545
28255,39261,2016-02-01 00:00:00.000000 UTC,7700,30.6787,27.586
16111,29093,2016-02-01 00:00:00.000000 UTC,4400,30.7467,30.7536
29093,28255,2016-02-01 00:00:00.000000 UTC,50800,30.7587,30.5648
28255,16111,2016-02-01 00:00:00.000000 UTC,56300,30.7661,31.1668
39261,29093,2016-02-01 00:00:00.000000 UTC,27600,30.7836,29.638
39261,16111,2016-02-01 00:00:00.000000 UTC,70400,30.8335,31.0696
39261,29093,2016-02-01 00:00:00.000000 UTC,57100,30.8732,30.4066
16111,29093,2016-02-01 00:00:00.000000 UTC,56700,30.8827,31.281
28255,16111,2016-02-01 00:00:00.000000 UTC,23500,30.8867,29.3994
16111,29093,2016-02-01 00:00:00.000000 UTC,1400,30.9107,30.8849
16111,39261,2016-02-01 00:00:00.000000 UTC,82000,31.0885,30.7971
39261,16111,2016-02-01 00:00:00.000000 UTC,59600,31.2667,30.1499
29093,39261,2016-02-01 00:00:00.000000 UTC,1300,31.2821,31.3007
16111,28255,2016-02-01 00:00:00.000000 UTC,5500,31.405,30.8377
16111,28255,2016-02-01 00:00:00.000000 UTC,53900,31.5241,30.6572
28255,39261,2016-02-01 00:00:00.000000 UTC,1400,31.5251,31.4774
39261,28255,2016-02-01 00:00:00.000000 UTC,89800,31.5694,30.8212
39261,29093,2016-02-01 00:00:00.000000 UTC,85200,31.5798,30.9804
29093,28255,2016-02-01 00:00:00.000000 UTC,98500,31.6059,31.3574
28255,29093,2016-02-01 00:00:00.000000 UTC,76900,31.6451,30.8023
16111,29093,2016-02-01 00:00:00.000000 UTC,73700,31.7177,31.4592
16111,29093,2016-02-01 00:00:00.000000 UTC,5300,31.7561,31.3056
28255,39261,2016-02-01 00:00:00.000000 UTC,79200,31.79,30.5026
16111,39261,2016-02-01 00:00:00.000000 UTC,99800,31.8791,31.5118
16111,39261,2016-02-01 00:00:00.000000 UTC,69600,31.9619,31.1577
28255,29093,2016-02-01 00:00:00.000000 UTC,93400,32.0056,31.7245
16111,29093,2016-02-01 00:00:00.000000 UTC,62300,32.1137,31.4577
29093,16111,2016-02-01 00:00:00.000000 UTC,56300,32.4339,31.1093
28255,39261,2016-02-01 00:00:00.000000 UTC,1300,32.6051,32.5664
16111,29093,2016-02-01 00:00:00.000000 UTC,67800,33.0556,31.7563
16111,28255,2016-02-01 00:00:00.000000 UTC,1100,33.7221,33.6916
